,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,player.gender,player.age,player.education,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,censoring
305,5sui6qsz,9pqvaeel,7,Trade_ends,2021-11-10 01:14:51.787248+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 15}",False,0.03,False,0,5,15,3.0,1,1,0,0,2,Male,46.0,undergraduate: 4th year,9,Other,0.0,1.0,1.0,Monthly,Daily,Stocks,No,15
306,r225pk58,9pqvaeel,9,Trade_ends,2021-11-10 01:15:06.023118+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 15}",False,0.06,False,0,5,15,3.0,1,0,0,0,1,Male,20.0,undergraduate: 4th year,10,Other,0.0,1.0,1.0,Weekly,Daily,Stocks,No,15
307,a2vn99wx,9pqvaeel,8,Trade_ends,2021-11-10 01:15:06.068205+00:00,"{""currentPrice"": 0, ""priceIndex"": 6, ""secs_since_round_starts"": 12}",True,0.06,False,0,6,12,2.0,1,0,0,0,1,Male,19.0,undergraduate: 2nd year,6,Other,1.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,12
308,5sui6qsz,9pqvaeel,8,Trade_ends,2021-11-10 01:15:07.541153+00:00,"{""currentPrice"": 12, ""priceIndex"": 3, ""secs_since_round_starts"": 8}",False,0.06,False,12,3,8,2.0,0,1,0,0,1,Male,46.0,undergraduate: 4th year,9,Other,0.0,1.0,1.0,Monthly,Daily,Stocks,No,1000
309,5sui6qsz,9pqvaeel,9,Trade_ends,2021-11-10 01:15:21.080322+00:00,"{""currentPrice"": 14, ""priceIndex"": 2, ""secs_since_round_starts"": 9}",False,0.06,False,14,2,9,3.0,0,1,0,0,1,Male,46.0,undergraduate: 4th year,9,Other,0.0,1.0,1.0,Monthly,Daily,Stocks,No,1000
310,8d9c3qd9,9pqvaeel,9,Trade_ends,2021-11-10 01:15:35.747947+00:00,"{""currentPrice"": 32, ""priceIndex"": 25, ""secs_since_round_starts"": 75}",False,0.06,False,32,25,75,3.0,0,0,1,0,1,Male,23.0,undergraduate: 4th year,7,Other,0.0,1.0,1.0,Monthly,Weekly,Stocks,No,75
311,a2vn99wx,9pqvaeel,9,Trade_ends,2021-11-10 01:15:52.886700+00:00,"{""currentPrice"": 22, ""priceIndex"": 12, ""secs_since_round_starts"": 38}",True,0.06,False,22,12,38,3.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,6,Other,1.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,1000
312,tjf8qe9c,9pqvaeel,2,Trade_ends,2021-11-10 01:16:41.155495+00:00,"{""currentPrice"": 20, ""priceIndex"": 9, ""secs_since_round_starts"": 20}",False,0.03,False,20,9,20,2.0,0,1,0,0,1,Male,31.0,undergraduate: 4th year,7,Other Management,1.0,0.0,0.0,Less than once a month,Weekly,Stocks,No,1000
313,tjf8qe9c,9pqvaeel,3,Trade_ends,2021-11-10 01:17:06.495475+00:00,"{""currentPrice"": 14, ""priceIndex"": 6, ""secs_since_round_starts"": 20}",False,0.03,False,14,6,20,3.0,0,1,0,0,1,Male,31.0,undergraduate: 4th year,7,Other Management,1.0,0.0,0.0,Less than once a month,Weekly,Stocks,No,1000
314,tjf8qe9c,9pqvaeel,4,Trade_ends,2021-11-10 01:17:18.342447+00:00,"{""currentPrice"": 16, ""priceIndex"": 3, ""secs_since_round_starts"": 8}",False,0.06,False,16,3,8,2.0,0,1,0,0,1,Male,31.0,undergraduate: 4th year,7,Other Management,1.0,0.0,0.0,Less than once a month,Weekly,Stocks,No,1000
315,tjf8qe9c,9pqvaeel,5,Trade_ends,2021-11-10 01:17:45.377293+00:00,"{""currentPrice"": 19, ""priceIndex"": 7, ""secs_since_round_starts"": 23}",False,0.06,False,19,7,23,3.0,0,1,0,0,1,Male,31.0,undergraduate: 4th year,7,Other Management,1.0,0.0,0.0,Less than once a month,Weekly,Stocks,No,1000
316,tjf8qe9c,9pqvaeel,6,Trade_ends,2021-11-10 01:18:13.013221+00:00,"{""currentPrice"": 23, ""priceIndex"": 8, ""secs_since_round_starts"": 23}",True,0.03,False,23,8,23,2.0,0,1,0,0,1,Male,31.0,undergraduate: 4th year,7,Other Management,1.0,0.0,0.0,Less than once a month,Weekly,Stocks,No,1000
317,6pzupwsq,9pqvaeel,2,Trade_ends,2021-11-10 01:18:18.732641+00:00,"{""currentPrice"": 0, ""priceIndex"": 4, ""secs_since_round_starts"": 8}",False,0.03,False,0,4,8,2.0,1,0,0,0,1,Female,22.0,master,5,Other,0.0,0.0,1.0,Monthly,Weekly,Stocks,Do not know,8
318,6pzupwsq,9pqvaeel,4,Trade_ends,2021-11-10 01:19:15.515368+00:00,"{""currentPrice"": 13, ""priceIndex"": 3, ""secs_since_round_starts"": 7}",False,0.06,False,13,3,7,2.0,0,1,0,0,1,Female,22.0,master,5,Other,0.0,0.0,1.0,Monthly,Weekly,Stocks,Do not know,1000
