,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,gamified_first,player.gender,player.age,player.education,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,censoring
16,lmni24iv,6jpxnq92,6,Trade_ends,2021-11-11 22:54:32.016042+00:00,"{""currentPrice"": 13, ""priceIndex"": 6, ""secs_since_round_starts"": 21}",False,0.02,False,13.0,10.0,30.0,13,6,21,2.0,0,1,0,1,1,1,Female,22.0,undergraduate: 3d year,7,Other Management,0.0,1.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,1000
17,oqvmwgef,6jpxnq92,4,Trade_ends,2021-11-11 22:54:43.453500+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 10}",True,0.06,False,0.0,10.0,30.0,0,5,10,2.0,1,0,0,0,1,1,Male,29.0,high-school graduate,4,Other,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,Yes,10
18,lmni24iv,6jpxnq92,7,Trade_ends,2021-11-11 22:54:57.451850+00:00,"{""currentPrice"": 15, ""priceIndex"": 8, ""secs_since_round_starts"": 19}",False,0.02,False,15.0,10.0,30.0,15,8,19,2.0,0,1,0,0,1,1,Female,22.0,undergraduate: 3d year,7,Other Management,0.0,1.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,1000
19,3ue47hkz,6jpxnq92,4,Trade_ends,2021-11-11 22:55:02.060990+00:00,"{""currentPrice"": 0, ""priceIndex"": 14, ""secs_since_round_starts"": 28}",False,0.06,False,0.0,10.0,30.0,0,14,28,2.0,1,0,0,0,1,0,Male,35.0,master,10,Other,1.0,1.0,1.0,Daily,Daily,"Derivatives (Options, Futures)",Yes,28
20,oqvmwgef,6jpxnq92,5,Trade_ends,2021-11-11 22:55:05.283662+00:00,"{""currentPrice"": 12, ""priceIndex"": 4, ""secs_since_round_starts"": 12}",True,0.06,False,12.0,10.0,30.0,12,4,12,2.0,0,1,0,0,1,1,Male,29.0,high-school graduate,4,Other,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,Yes,1000
21,lmni24iv,6jpxnq92,8,Trade_ends,2021-11-11 22:55:21.401949+00:00,"{""currentPrice"": 16, ""priceIndex"": 7, ""secs_since_round_starts"": 18}",False,0.06,False,16.0,10.0,30.0,16,7,18,2.0,0,1,0,0,1,1,Female,22.0,undergraduate: 3d year,7,Other Management,0.0,1.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,1000
22,3ue47hkz,6jpxnq92,5,Trade_ends,2021-11-11 22:55:23.998408+00:00,"{""currentPrice"": 18, ""priceIndex"": 7, ""secs_since_round_starts"": 16}",False,0.06,False,18.0,10.0,30.0,18,7,16,2.0,0,1,0,0,1,0,Male,35.0,master,10,Other,1.0,1.0,1.0,Daily,Daily,"Derivatives (Options, Futures)",Yes,1000
23,oqvmwgef,6jpxnq92,6,Trade_ends,2021-11-11 22:55:31.986735+00:00,"{""currentPrice"": 17, ""priceIndex"": 6, ""secs_since_round_starts"": 15}",False,0.02,False,17.0,10.0,30.0,17,6,15,2.0,0,1,0,0,1,1,Male,29.0,high-school graduate,4,Other,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,Yes,1000
24,lmni24iv,6jpxnq92,9,Trade_ends,2021-11-11 22:55:40.912680+00:00,"{""currentPrice"": 16, ""priceIndex"": 5, ""secs_since_round_starts"": 13}",False,0.06,False,16.0,10.0,30.0,16,5,13,2.0,0,1,0,0,1,1,Female,22.0,undergraduate: 3d year,7,Other Management,0.0,1.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,1000
25,3ue47hkz,6jpxnq92,6,Trade_ends,2021-11-11 22:55:58.113252+00:00,"{""currentPrice"": 20, ""priceIndex"": 13, ""secs_since_round_starts"": 28}",True,0.02,False,20.0,10.0,30.0,20,13,28,2.0,0,1,0,0,1,0,Male,35.0,master,10,Other,1.0,1.0,1.0,Daily,Daily,"Derivatives (Options, Futures)",Yes,1000
26,oqvmwgef,6jpxnq92,7,Trade_ends,2021-11-11 22:56:09.533294+00:00,"{""currentPrice"": 18, ""priceIndex"": 10, ""secs_since_round_starts"": 26}",False,0.02,False,18.0,10.0,30.0,18,10,26,2.0,0,1,0,0,1,1,Male,29.0,high-school graduate,4,Other,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,Yes,1000
27,3ue47hkz,6jpxnq92,7,Trade_ends,2021-11-11 22:56:11.272300+00:00,"{""currentPrice"": 0, ""priceIndex"": 2, ""secs_since_round_starts"": 4}",True,0.02,False,0.0,10.0,30.0,0,2,4,2.0,1,0,0,0,1,0,Male,35.0,master,10,Other,1.0,1.0,1.0,Daily,Daily,"Derivatives (Options, Futures)",Yes,4
28,3ue47hkz,6jpxnq92,8,Trade_ends,2021-11-11 22:56:33.935365+00:00,"{""currentPrice"": 0, ""priceIndex"": 8, ""secs_since_round_starts"": 16}",True,0.06,False,0.0,10.0,30.0,0,8,16,2.0,1,0,0,0,1,0,Male,35.0,master,10,Other,1.0,1.0,1.0,Daily,Daily,"Derivatives (Options, Futures)",Yes,16
29,oqvmwgef,6jpxnq92,8,Trade_ends,2021-11-11 22:56:41.034093+00:00,"{""currentPrice"": 0, ""priceIndex"": 12, ""secs_since_round_starts"": 24}",False,0.06,False,0.0,10.0,30.0,0,12,24,2.0,1,0,0,0,1,1,Male,29.0,high-school graduate,4,Other,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,Yes,24
30,3ue47hkz,6jpxnq92,9,Trade_ends,2021-11-11 22:57:00.608633+00:00,"{""currentPrice"": 0, ""priceIndex"": 11, ""secs_since_round_starts"": 22}",True,0.06,False,0.0,10.0,30.0,0,11,22,2.0,1,0,0,0,1,0,Male,35.0,master,10,Other,1.0,1.0,1.0,Daily,Daily,"Derivatives (Options, Futures)",Yes,22
31,oqvmwgef,6jpxnq92,9,Trade_ends,2021-11-11 22:57:04.542607+00:00,"{""currentPrice"": 17, ""priceIndex"": 5, ""secs_since_round_starts"": 13}",False,0.06,False,17.0,10.0,30.0,17,5,13,2.0,0,1,0,0,1,1,Male,29.0,high-school graduate,4,Other,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,Yes,1000
32,12u409cn,6jpxnq92,2,Trade_ends,2021-11-11 22:57:11.584293+00:00,"{""currentPrice"": 34, ""priceIndex"": 22, ""secs_since_round_starts"": 46}",True,0.02,False,34.0,10.0,30.0,34,22,46,2.0,0,1,0,0,1,1,Male,22.0,high-school graduate,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,1000
33,12u409cn,6jpxnq92,3,Trade_ends,2021-11-11 22:58:15.418720+00:00,"{""currentPrice"": 52, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.02,False,52.0,10.0,30.0,52,30,60,2.0,0,0,1,0,1,1,Male,22.0,high-school graduate,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,60
34,12u409cn,6jpxnq92,4,Trade_ends,2021-11-11 22:58:31.753023+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 10}",True,0.06,False,0.0,10.0,30.0,0,5,10,2.0,1,0,0,0,1,1,Male,22.0,high-school graduate,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,10
35,4nyd8kee,6jpxnq92,2,Trade_ends,2021-11-11 22:59:27.709127+00:00,"{""currentPrice"": 20, ""priceIndex"": 9, ""secs_since_round_starts"": 23}",False,0.02,False,20.0,10.0,30.0,20,9,23,2.0,0,1,0,1,1,0,Male,25.0,undergraduate: 1st year,8,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,No,1000
36,12u409cn,6jpxnq92,5,Trade_ends,2021-11-11 22:59:39.481987+00:00,"{""currentPrice"": 39, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",True,0.06,False,39.0,10.0,30.0,39,30,60,2.0,0,0,1,0,1,1,Male,22.0,high-school graduate,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,60
37,4nyd8kee,6jpxnq92,3,Trade_ends,2021-11-11 22:59:45.553372+00:00,"{""currentPrice"": 0, ""priceIndex"": 3, ""secs_since_round_starts"": 6}",False,0.02,False,0.0,10.0,30.0,0,3,6,2.0,1,0,0,0,1,0,Male,25.0,undergraduate: 1st year,8,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,No,6
38,7pt2vr67,6jpxnq92,2,Trade_ends,2021-11-11 22:59:53.330713+00:00,"{""currentPrice"": 35, ""priceIndex"": 28, ""secs_since_round_starts"": 62}",True,0.02,False,35.0,10.0,30.0,35,28,62,2.0,0,1,0,0,1,1,Female,22.0,high-school graduate,3,Other,0.0,0.0,1.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
39,4nyd8kee,6jpxnq92,4,Trade_ends,2021-11-11 23:00:00.761185+00:00,"{""currentPrice"": 12, ""priceIndex"": 2, ""secs_since_round_starts"": 7}",False,0.06,False,12.0,10.0,30.0,12,2,7,2.0,0,1,0,0,1,0,Male,25.0,undergraduate: 1st year,8,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,No,1000
40,4nyd8kee,6jpxnq92,5,Trade_ends,2021-11-11 23:00:19.172256+00:00,"{""currentPrice"": 12, ""priceIndex"": 3, ""secs_since_round_starts"": 11}",False,0.06,False,12.0,10.0,30.0,12,3,11,2.0,0,1,0,1,1,0,Male,25.0,undergraduate: 1st year,8,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,No,1000
41,4nyd8kee,6jpxnq92,6,Trade_ends,2021-11-11 23:00:38.176971+00:00,"{""currentPrice"": 16, ""priceIndex"": 4, ""secs_since_round_starts"": 12}",True,0.02,False,16.0,10.0,30.0,16,4,12,2.0,0,1,0,0,1,0,Male,25.0,undergraduate: 1st year,8,Other,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,No,1000
