owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,current_price,priceIndex,secs_since_round_starts
7gobkypf,9pqvaeel,3,Trade_ends,2021-11-10 01:49:26.513578+00:00,"{""currentPrice"": 22, ""priceIndex"": 12, ""secs_since_round_starts"": 38}",FALSE,0.03,FALSE,22,12,38
l1rs6m7t,9pqvaeel,6,round_ends,2021-11-10 01:49:27.349131+00:00,"{""currentPrice"": 35, ""priceIndex"": 25, ""secs_since_round_starts"": 52}",FALSE,0.03,FALSE,35,25,52
2wututnc,9pqvaeel,7,Trade_starts,2021-11-10 01:49:28.539998+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,FALSE,10,0,0
ngab0n17,9pqvaeel,2,sellingDialogShown,2021-11-10 01:49:29.797779+00:00,"{""currentPrice"": 15, ""priceIndex"": 4, ""secs_since_round_starts"": 9}",TRUE,0.03,FALSE,15,4,9
l1rs6m7t,9pqvaeel,7,Trade_starts,2021-11-10 01:49:30.292890+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,FALSE,10,0,0
7gobkypf,9pqvaeel,4,Trade_starts,2021-11-10 01:49:30.952579+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.06,FALSE,10,0,0
2wututnc,9pqvaeel,7,Trade_ends,2021-11-10 01:49:31.443774+00:00,"{""currentPrice"": 0, ""priceIndex"": 1, ""secs_since_round_starts"": 3}",FALSE,0.03,FALSE,0,1,3
ngab0n17,9pqvaeel,2,Sell,2021-11-10 01:49:35.016014+00:00,"{""currentPrice"": 15, ""priceIndex"": 4, ""secs_since_round_starts"": 15}",TRUE,0.03,FALSE,15,4,15
ngab0n17,9pqvaeel,2,Trade_ends,2021-11-10 01:49:35.070873+00:00,"{""currentPrice"": 15, ""priceIndex"": 4, ""secs_since_round_starts"": 15}",TRUE,0.03,FALSE,15,4,15
2wututnc,9pqvaeel,7,round_ends,2021-11-10 01:49:35.738169+00:00,"{""currentPrice"": 0, ""priceIndex"": 1, ""secs_since_round_starts"": 7}",FALSE,0.03,FALSE,0,1,7
ngab0n17,9pqvaeel,3,Trade_starts,2021-11-10 01:49:38.969981+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.03,FALSE,10,0,0
2wututnc,9pqvaeel,8,Trade_starts,2021-11-10 01:49:41.617199+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.06,FALSE,10,0,0
l1rs6m7t,9pqvaeel,7,Trade_ends,2021-11-10 01:49:41.983070+00:00,"{""currentPrice"": 0, ""priceIndex"": 4, ""secs_since_round_starts"": 12}",FALSE,0.03,FALSE,0,4,12
0cfoyoxq,9pqvaeel,2,Trade_ends,2021-11-10 01:49:44.848146+00:00,"{""currentPrice"": 0, ""priceIndex"": 12, ""secs_since_round_starts"": 24}",TRUE,0.03,FALSE,0,12,24
l1rs6m7t,9pqvaeel,8,Trade_starts,2021-11-10 01:49:46.491595+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.06,FALSE,10,0,0
ncik57ga,9pqvaeel,3,Trade_ends,2021-11-10 01:49:47.534771+00:00,"{""currentPrice"": 0, ""priceIndex"": 22, ""secs_since_round_starts"": 66}",TRUE,0.03,FALSE,0,22,66
0cfoyoxq,9pqvaeel,2,round_ends,2021-11-10 01:49:48.776478+00:00,"{""currentPrice"": 0, ""priceIndex"": 12, ""secs_since_round_starts"": 27}",TRUE,0.03,FALSE,0,12,27
ncik57ga,9pqvaeel,3,round_ends,2021-11-10 01:49:51.225357+00:00,"{""currentPrice"": 0, ""priceIndex"": 22, ""secs_since_round_starts"": 69}",TRUE,0.03,FALSE,0,22,69
ngab0n17,9pqvaeel,3,sellingDialogShown,2021-11-10 01:49:51.967531+00:00,"{""currentPrice"": 14, ""priceIndex"": 4, ""secs_since_round_starts"": 13}",TRUE,0.03,FALSE,14,4,13
0cfoyoxq,9pqvaeel,3,Trade_starts,2021-11-10 01:49:51.999106+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.03,FALSE,10,0,0
ngab0n17,9pqvaeel,3,Sell,2021-11-10 01:49:57.034212+00:00,"{""currentPrice"": 14, ""priceIndex"": 4, ""secs_since_round_starts"": 18}",TRUE,0.03,FALSE,14,4,18
ngab0n17,9pqvaeel,3,Trade_ends,2021-11-10 01:49:57.083946+00:00,"{""currentPrice"": 14, ""priceIndex"": 4, ""secs_since_round_starts"": 18}",TRUE,0.03,FALSE,14,4,18
2wututnc,9pqvaeel,8,sellingDialogShown,2021-11-10 01:49:58.750674+00:00,"{""currentPrice"": 18, ""priceIndex"": 8, ""secs_since_round_starts"": 17}",FALSE,0.06,FALSE,18,8,17
txfqqvp0,9pqvaeel,1,Trade_ends,2021-11-10 01:49:59.209346+00:00,"{""currentPrice"": 24, ""priceIndex"": 25, ""secs_since_round_starts"": 50}",FALSE,0.03,TRUE,24,25,50
11b8cunt,9pqvaeel,5,sellingDialogShown,2021-11-10 01:50:00.072870+00:00,"{""currentPrice"": 35, ""priceIndex"": 22, ""secs_since_round_starts"": 67}",FALSE,0.06,FALSE,35,22,67
2wututnc,9pqvaeel,8,Sell,2021-11-10 01:50:00.584261+00:00,"{""currentPrice"": 18, ""priceIndex"": 8, ""secs_since_round_starts"": 19}",FALSE,0.06,FALSE,18,8,19
2wututnc,9pqvaeel,8,Trade_ends,2021-11-10 01:50:00.668659+00:00,"{""currentPrice"": 18, ""priceIndex"": 8, ""secs_since_round_starts"": 19}",FALSE,0.06,FALSE,18,8,19
ngab0n17,9pqvaeel,4,Trade_starts,2021-11-10 01:50:01.227157+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.06,FALSE,10,0,0
11b8cunt,9pqvaeel,5,Sell,2021-11-10 01:50:01.662390+00:00,"{""currentPrice"": 35, ""priceIndex"": 22, ""secs_since_round_starts"": 69}",FALSE,0.06,FALSE,35,22,69
11b8cunt,9pqvaeel,5,Trade_ends,2021-11-10 01:50:01.722667+00:00,"{""currentPrice"": 35, ""priceIndex"": 22, ""secs_since_round_starts"": 69}",FALSE,0.06,FALSE,35,22,69
ncik57ga,9pqvaeel,4,Trade_starts,2021-11-10 01:50:02.839199+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.06,FALSE,10,0,0
ngab0n17,9pqvaeel,4,Trade_ends,2021-11-10 01:50:03.043853+00:00,"{""currentPrice"": 0, ""priceIndex"": 1, ""secs_since_round_starts"": 2}",TRUE,0.06,FALSE,0,1,2
11b8cunt,9pqvaeel,5,round_ends,2021-11-10 01:50:03.194414+00:00,"{""currentPrice"": 35, ""priceIndex"": 22, ""secs_since_round_starts"": 70}",FALSE,0.06,FALSE,35,22,70
7gobkypf,9pqvaeel,4,sellingDialogShown,2021-11-10 01:50:03.759708+00:00,"{""currentPrice"": 26, ""priceIndex"": 16, ""secs_since_round_starts"": 33}",FALSE,0.06,FALSE,26,16,33
2wututnc,9pqvaeel,8,round_ends,2021-11-10 01:50:04.101419+00:00,"{""currentPrice"": 18, ""priceIndex"": 8, ""secs_since_round_starts"": 22}",FALSE,0.06,FALSE,18,8,22
7gobkypf,9pqvaeel,4,Sell,2021-11-10 01:50:04.691058+00:00,"{""currentPrice"": 26, ""priceIndex"": 16, ""secs_since_round_starts"": 34}",FALSE,0.06,FALSE,26,16,34
7gobkypf,9pqvaeel,4,Trade_ends,2021-11-10 01:50:04.743694+00:00,"{""currentPrice"": 26, ""priceIndex"": 16, ""secs_since_round_starts"": 34}",FALSE,0.06,FALSE,26,16,34
11b8cunt,9pqvaeel,6,Trade_starts,2021-11-10 01:50:06.191074+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.03,FALSE,10,0,0
l1rs6m7t,9pqvaeel,8,Trade_ends,2021-11-10 01:50:06.292465+00:00,"{""currentPrice"": 0, ""priceIndex"": 10, ""secs_since_round_starts"": 20}",FALSE,0.06,FALSE,0,10,20
7gobkypf,9pqvaeel,5,Trade_starts,2021-11-10 01:50:08.308937+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.06,FALSE,10,0,0
2wututnc,9pqvaeel,9,Trade_starts,2021-11-10 01:50:09.899128+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.06,FALSE,10,0,0
l1rs6m7t,9pqvaeel,9,Trade_starts,2021-11-10 01:50:10.372098+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.06,FALSE,10,0,0
ngab0n17,9pqvaeel,5,Trade_starts,2021-11-10 01:50:10.480384+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.06,FALSE,10,0,0
txfqqvp0,9pqvaeel,2,Trade_starts,2021-11-10 01:50:12.954795+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,FALSE,10,0,0
