,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,gamified_first,player.gender,player.age,player.education,participant.payoff,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.nationality,censoring,censoring_price
2065,rolr3er9,tcbozsj9,4,Trade_ends,2021-11-17 18:31:39.600587+00:00,"{""currentPrice"": 17, ""priceIndex"": 5, ""secs_since_round_starts"": 12}",False,0.02,False,17.0,10.0,30.0,17,5,12,2.0,0,1,0,0,1,0,Male,48.0,master,24,7,Other,0.0,1.0,1.0,Monthly,Weekly,Stocks,No,US,1000,1000.0
2066,t6cfhe7m,tcbozsj9,8,Trade_ends,2021-11-17 18:31:41.152326+00:00,"{""currentPrice"": 15, ""priceIndex"": 3, ""secs_since_round_starts"": 8}",True,0.05,False,15.0,10.0,30.0,15,3,8,2.0,0,1,0,0,1,0,Male,45.0,master,19,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Bonds,No,US,1000,1000.0
2067,2mzdualp,tcbozsj9,3,Trade_ends,2021-11-17 18:31:41.343445+00:00,"{""currentPrice"": 39, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.05,False,39.0,10.0,30.0,39,30,60,2.0,0,0,1,0,1,0,Male,38.0,PhD,10,10,Other,1.0,1.0,1.0,Weekly,Daily,Stocks,Yes,CN,60,1000.0
2068,2je1hqot,tcbozsj9,6,Trade_ends,2021-11-17 18:31:43.708894+00:00,"{""currentPrice"": 22, ""priceIndex"": 10, ""secs_since_round_starts"": 21}",False,0.05,False,22.0,10.0,30.0,22,10,21,2.0,0,1,0,0,1,1,Male,25.0,master,8,8,Other,0.0,0.0,1.0,Weekly,Daily,Bonds,Yes,US,1000,1000.0
2069,2cnrppop,tcbozsj9,3,Trade_ends,2021-11-17 18:31:45.468181+00:00,"{""currentPrice"": 19, ""priceIndex"": 8, ""secs_since_round_starts"": 18}",False,0.05,False,19.0,10.0,30.0,19,8,18,2.0,0,1,0,0,1,0,Male,27.0,master,29,10,Other,0.0,1.0,0.0,Less than once a month,Monthly,Stocks,No,GB,1000,1000.0
2070,mgnzivyw,tcbozsj9,3,Trade_ends,2021-11-17 18:31:49.886915+00:00,"{""currentPrice"": 30, ""priceIndex"": 24, ""secs_since_round_starts"": 50}",True,0.05,False,30.0,10.0,30.0,30,24,50,2.0,0,1,0,0,1,1,Male,29.0,undergraduate: 4th year,11,11,Other,1.0,1.0,1.0,Monthly,Weekly,Stocks,No,GB,1000,1000.0
2071,ym2ds9cf,xm39f2ij,9,Trade_ends,2021-11-17 18:31:51.329658+00:00,"{""currentPrice"": 22, ""priceIndex"": 13, ""secs_since_round_starts"": 29}",True,0.02,False,22.0,10.0,30.0,22,13,29,2.0,0,1,0,1,1,0,Female,33.0,undergraduate: 4th year,21,4,Other,1.0,1.0,1.0,Daily,Daily,Stocks,No,CA,1000,1000.0
2072,7zty628a,tcbozsj9,9,Trade_ends,2021-11-17 18:31:52.328293+00:00,"{""currentPrice"": 20, ""priceIndex"": 12, ""secs_since_round_starts"": 27}",True,0.02,False,20.0,10.0,30.0,20,12,27,2.0,0,1,0,0,1,0,Male,24.0,master,10,10,Other Management,0.0,1.0,0.0,Less than once a month,Daily,Cryptocurrencies,No,BG,1000,1000.0
2073,t6cfhe7m,tcbozsj9,9,Trade_ends,2021-11-17 18:31:53.639210+00:00,"{""currentPrice"": 15, ""priceIndex"": 3, ""secs_since_round_starts"": 8}",True,0.02,False,15.0,10.0,30.0,15,3,8,2.0,0,1,0,0,1,0,Male,45.0,master,19,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Bonds,No,US,1000,1000.0
2074,fl9hlxrt,tcbozsj9,2,Trade_ends,2021-11-17 18:31:58.767729+00:00,"{""currentPrice"": 20, ""priceIndex"": 7, ""secs_since_round_starts"": 16}",False,0.02,False,20.0,10.0,30.0,20,7,16,2.0,0,1,0,0,1,0,Male,40.0,master,22,6,Economics,1.0,0.0,0.0,Monthly,Monthly,Stocks,No,GB,1000,1000.0
