owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__tick_frequency,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts
l92bojqx,mv9ewgi2,5,sellingDialogShown,2021-11-12 19:49:01.339937+00:00,"{""currentPrice"": 24, ""priceIndex"": 11, ""secs_since_round_starts"": 23}",False,0.05,False,24.0,10.0,2.0,30.0,24,11,23
67v8bxph,mv9ewgi2,5,sellingDialogShown,2021-11-12 19:49:01.784201+00:00,"{""currentPrice"": 37, ""priceIndex"": 25, ""secs_since_round_starts"": 51}",True,0.05,False,37.0,10.0,2.0,30.0,37,25,51
l92bojqx,mv9ewgi2,5,Sell,2021-11-12 19:49:02.675875+00:00,"{""currentPrice"": 24, ""priceIndex"": 11, ""secs_since_round_starts"": 25}",False,0.05,False,24.0,10.0,2.0,30.0,24,11,25
l92bojqx,mv9ewgi2,5,Trade_ends,2021-11-12 19:49:02.734471+00:00,"{""currentPrice"": 24, ""priceIndex"": 11, ""secs_since_round_starts"": 25}",False,0.05,False,24.0,10.0,2.0,30.0,24,11,25
67v8bxph,mv9ewgi2,5,Sell,2021-11-12 19:49:03.323416+00:00,"{""currentPrice"": 37, ""priceIndex"": 25, ""secs_since_round_starts"": 52}",True,0.05,False,37.0,10.0,2.0,30.0,37,25,52
67v8bxph,mv9ewgi2,5,Trade_ends,2021-11-12 19:49:03.420199+00:00,"{""currentPrice"": 37, ""priceIndex"": 25, ""secs_since_round_starts"": 52}",True,0.05,False,37.0,10.0,2.0,30.0,37,25,52
l92bojqx,mv9ewgi2,5,round_ends,2021-11-12 19:49:04.276988+00:00,"{""currentPrice"": 24, ""priceIndex"": 11, ""secs_since_round_starts"": 26}",False,0.05,False,24.0,10.0,2.0,30.0,24,11,26
77ps1c78,mv9ewgi2,3,Trade_starts,2021-11-12 19:49:04.293854+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",False,0.05,False,0.0,10.0,2.0,30.0,10,0,0
67v8bxph,mv9ewgi2,5,round_ends,2021-11-12 19:49:04.815707+00:00,"{""currentPrice"": 37, ""priceIndex"": 25, ""secs_since_round_starts"": 54}",True,0.05,False,37.0,10.0,2.0,30.0,37,25,54
vilzxcqv,mv9ewgi2,4,round_ends,2021-11-12 19:49:04.864996+00:00,"{""currentPrice"": 23, ""priceIndex"": 13, ""secs_since_round_starts"": 33}",True,0.02,False,23.0,10.0,2.0,30.0,23,13,33
